time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
2.895,52.510338,78.94468,1371.127
2.9,52.497215,78.92495,1370.7843
2.905,52.484093,78.90522,1370.4417
2.91,52.47097,78.8855,1370.0991
2.915,52.457855,78.865776,1369.7566
2.92,52.444744,78.84606,1369.4142
2.9250000000000003,52.431633,78.826355,1369.0719
2.93,52.41853,78.80665,1368.7296
2.935,52.405426,78.78695,1368.3876
2.94,52.392326,78.76726,1368.0455
2.945,52.37923,78.74757,1367.7035
2.95,52.366135,78.72788,1367.3616
2.955,52.353046,78.708206,1367.0199
2.96,52.33996,78.68853,1366.6781
2.965,52.326874,78.66886,1366.3364
2.97,52.313793,78.64919,1365.9949
2.975,52.300716,78.62953,1365.6534
2.98,52.287643,78.60988,1365.3121
2.985,52.274574,78.59023,1364.9708
2.99,52.26151,78.57059,1364.6296
2.995,52.248444,78.55094,1364.2885
3.0,52.235386,78.53131,1363.9475
3.005,52.22233,78.51168,1363.6066
3.01,52.20927,78.49205,1363.2656
3.015,52.19622,78.47243,1362.9249
3.02,52.183178,78.45282,1362.5842
3.025,52.170128,78.433205,1362.2435
3.03,52.15709,78.4136,1361.9031
3.035,52.14405,78.394,1361.5626
3.04,52.13102,78.374405,1361.2223
3.045,52.117985,78.35481,1360.882
3.0500000000000003,52.104958,78.33523,1360.5419
3.055,52.091934,78.31564,1360.2018
3.06,52.078915,78.29607,1359.8618
3.065,52.065895,78.2765,1359.5219
3.0700000000000003,52.05288,78.25693,1359.182
3.075,52.039867,78.237366,1358.8423
3.08,52.02686,78.21781,1358.5026
3.085,52.013855,78.19826,1358.1631
3.09,52.00085,78.17871,1357.8235
3.095,51.987854,78.15917,1357.4841
3.1,51.974857,78.13963,1357.1448
3.105,51.96187,78.1201,1356.8055
3.11,51.94888,78.10057,1356.4664
3.115,51.93589,78.08105,1356.1273
3.12,51.922913,78.06154,1355.7883
3.125,51.90993,78.042015,1355.4493
3.13,51.896954,78.02251,1355.1106
3.135,51.883984,78.003006,1354.7719
3.14,51.871014,77.98351,1354.4332
3.145,51.858047,77.96401,1354.0946
3.15,51.845085,77.94453,1353.7562
3.155,51.832123,77.92504,1353.4177
3.16,51.819168,77.90556,1353.0795
3.165,51.806213,77.886086,1352.7412
3.17,51.793262,77.86662,1352.4031
3.1750000000000003,51.780315,77.84715,1352.065
3.18,51.767376,77.8277,1351.727
3.185,51.754436,77.80824,1351.3892
3.19,51.741497,77.78879,1351.0513
3.1950000000000003,51.728565,77.76935,1350.7136
3.2,51.715633,77.74991,1350.376
3.205,51.702705,77.73048,1350.0385
3.21,51.68978,77.711044,1349.7009
3.215,51.67686,77.69162,1349.3636
3.22,51.663944,77.672195,1349.0262
3.225,51.65103,77.65279,1348.6891
3.23,51.638115,77.63337,1348.3519
3.235,51.62521,77.61397,1348.0149
3.24,51.612305,77.59457,1347.678
3.245,51.599403,77.575165,1347.3411
3.25,51.586506,77.55578,1347.0043
3.255,51.573612,77.53639,1346.6676
